date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2021-03-21,115092,57905,57187,52425510,67318246,119743756,15574,7565,23139
2018-02-20,1971,1056,915,2648050,10464445,13112495,716,155,871
2021-11-13,122277,61024,61253,81819297,81691483,163510780,35796,11714,47510
2015-11-08,974,114,860,497050,122930,619980,794,52,846
2018-02-09,1774,1209,565,2487500,12884553,15372053,370,158,528
2024-03-12,226489,80715,145774,215678860,133775313,349454173,66951,10689,77640
2021-09-18,127370,62762,64608,71940406,72639498,144579904,31098,10846,41944
2025-01-05,262272,78589,183683,298153929,99933730,398087659,93579,7696,101275
2015-03-02,101,19,82,787050,28000,815050,2,1,3
2020-10-29,102729,50993,51736,66162945,59117187,125280132,27773,7303,35076
2021-02-24,113540,62292,51248,68207984,91360882,159568866,27336,10305,37641
2023-06-13,208527,87320,121207,192171978,131748372,323920350,66711,13499,80210
2019-02-07,25959,22010,3949,7026050,34560664,41586714,2231,2201,4432
2026-02-07,252749,35620,217129,423543508,70864741,494408249,18328,215,18543
2022-03-31,130130,67595,62535,96146311,90246407,186392718,32156,9970,42126
2021-03-01,113508,63997,49511,59569760,94792301,154362061,26019,9425,35444
2017-05-10,1170,521,649,930000,2134958,3064958,463,96,559
2017-12-06,10751,7711,3040,7036000,8611228,15647228,2667,740,3407
2020-12-19,116092,59654,56438,69896245,79677168,149573413,26919,8989,35908
2017-05-12,1480,670,810,1254500,2798710,4053210,617,86,703
2019-02-06,32567,26527,6040,9470999,34612523,44083522,3872,2661,6533
2025-05-22,281628,71600,210028,406828734,113934826,520763560,116999,5261,122260
2021-08-06,127128,65204,61924,67234766,80122671,147357437,28796,13381,42177
2017-08-13,1165,594,571,1198730,3684513,4883243,391,74,465
2024-08-08,246650,76628,170022,273862145,128128426,401990571,85975,9113,95088
2015-01-30,109,28,81,681600,196030,877630,3,1,4
2024-11-21,300821,85921,214900,384635464,154419117,539054581,118963,9827,128790
2016-03-21,1340,145,1195,1193900,257855,1451755,893,28,921
2016-05-27,1460,105,1355,935900,299010,1234910,982,4,986
2018-07-29,11085,8204,2881,8252055,11221745,19473800,803,145,948
2020-06-28,116218,48653,67565,76923995,51671409,128595404,17682,7263,24945
2020-05-17,78301,33228,45073,52751990,29097281,81849271,13252,6369,19621
2021-05-10,71914,29629,42285,51189748,36840414,88030162,21199,7859,29058
2023-08-21,193015,77246,115769,177879912,105663116,283543028,58731,12295,71026
2017-06-15,1929,1143,786,1927140,6112900,8040040,558,101,659
2022-11-19,163030,76070,86960,154216619,114952123,269168742,56767,13512,70279
2026-01-29,287230,42951,244279,464996692,77004537,542001229,21686,433,22119
2019-04-09,30803,23465,7338,7801176,27783751,35584927,4805,3345,8150
2019-04-01,33326,27196,6130,6270770,34087049,40357819,4567,3511,8078
2018-08-20,13106,11051,2055,3342570,21567995,24910565,1157,410,1567
2024-10-27,229345,70950,158395,273261194,88050307,361311501,84532,8263,92795
2024-08-13,229670,72211,157459,243649563,131677252,375326815,81420,8477,89897
2015-07-11,244,100,144,1521147,730210,2251357,0,0,0
2016-03-13,777,95,682,796000,179340,975340,491,31,522
2025-02-28,267561,75223,192338,361606046,122300346,483906392,111076,7162,118238
2023-10-29,171833,66143,105690,153196320,85700896,238897216,55174,10273,65447
2018-09-14,20097,15385,4712,6662599,28359673,35022272,2934,931,3865
2022-01-31,118115,62607,55508,78811195,76028352,154839547,31752,9704,41456
2023-12-29,209632,74757,134875,219926608,107928105,327854713,63466,11375,74841
2022-11-16,149355,69975,79380,144588414,120301487,264889901,53043,11969,65012
2015-09-05,45,9,36,220400,50507,270907,2,0,2
2015-01-05,162,28,134,877654,103000,980654,2,0,2
2024-08-18,216109,64682,151427,216852524,81766933,298619457,77958,8374,86332
2018-02-26,2274,1462,812,3576832,15196269,18773101,616,289,905
2015-02-10,190,54,136,1101190,205500,1306690,5,0,5
2020-06-03,125624,52725,72899,83605210,53410597,137015807,16956,9090,26046
2018-10-04,19914,15347,4567,9550753,27455872,37006625,2674,897,3571
2015-11-04,1201,125,1076,854875,245040,1099915,1000,28,1028
2018-06-15,11869,9789,2080,3386549,18505071,21891620,877,363,1240
2016-08-08,1543,96,1447,852660,137850,990510,1140,7,1147
2018-09-15,16341,12365,3976,4368306,23930742,28299048,2784,660,3444
2023-12-14,205937,75617,130320,211695364,123190220,334885584,66530,11398,77928
2020-11-21,132669,66673,65996,77652201,66770470,144422671,37383,12423,49806
2019-12-27,93563,32960,60603,12012516,49948867,61961383,54531,7675,62206
2015-05-07,93,42,51,509100,231773,740873,1,1,2
2025-08-02,279402,67916,211486,412182209,111607415,523789624,118473,4785,123258
2016-10-15,994,139,855,1034340,466950,1501290,736,28,764
2024-01-10,211557,75230,136327,212691314,129888541,342579855,67157,11124,78281
2019-03-28,30454,25006,5448,6168227,33372105,39540332,2604,3487,6091
2021-02-27,108024,59111,48913,62593256,71140058,133733314,26540,9905,36445
2019-03-27,38841,30140,8701,10591219,43062834,53654053,5203,3861,9064
2017-08-14,1605,783,822,1576578,4147535,5724113,645,92,737
2020-02-20,130094,58096,71998,19297825,63606703,82904528,53219,11873,65092
2019-02-18,24555,20347,4208,5563075,30240666,35803741,2415,1897,4312
2020-08-06,115710,54397,61313,70863921,63282410,134146331,35202,7708,42910
2025-03-01,265329,83107,182222,340503355,154805290,495308645,101380,7046,108426
2016-04-16,1137,121,1016,828300,204500,1032800,803,42,845
2015-09-15,125,37,88,695525,179300,874825,6,0,6
2025-01-19,265299,74422,190877,323389909,88654310,412044219,105347,7712,113059
2019-06-16,45275,31474,13801,10628365,28602036,39230401,5617,3218,8835
2016-06-04,1310,86,1224,1139147,238100,1377247,843,6,849
2017-01-03,882,169,713,1601800,400800,2002600,525,45,570
